"","sample","probe","value","type"
"217","TCGA-P6-A5OF-01","StromalScore.estimate",-783.217525999782,"estimate"
"218","TCGA-P6-A5OF-01","ImmuneScore.estimate",-809.807233092716,"estimate"
"219","TCGA-P6-A5OF-01","ESTIMATEScore.estimate",-1593.0247590925,"estimate"
"220","TCGA-P6-A5OG-01","StromalScore.estimate",855.040993440906,"estimate"
"221","TCGA-P6-A5OG-01","ImmuneScore.estimate",1379.03650495386,"estimate"
"222","TCGA-P6-A5OG-01","ESTIMATEScore.estimate",2234.07749839477,"estimate"
"223","TCGA-PA-A5YG-01","StromalScore.estimate",-30.1222779922115,"estimate"
"224","TCGA-PA-A5YG-01","ImmuneScore.estimate",532.582322604763,"estimate"
"225","TCGA-PA-A5YG-01","ESTIMATEScore.estimate",502.460044612552,"estimate"
"226","TCGA-PK-A5H8-01","StromalScore.estimate",-1004.46728200639,"estimate"
"227","TCGA-PK-A5H8-01","ImmuneScore.estimate",-523.607026757714,"estimate"
"228","TCGA-PK-A5H8-01","ESTIMATEScore.estimate",-1528.0743087641,"estimate"
"229","TCGA-PK-A5H9-01","StromalScore.estimate",-317.546774869181,"estimate"
"230","TCGA-PK-A5H9-01","ImmuneScore.estimate",-234.846530846743,"estimate"
"231","TCGA-PK-A5H9-01","ESTIMATEScore.estimate",-552.393305715924,"estimate"
"232","TCGA-PK-A5HA-01","StromalScore.estimate",18.0927725010375,"estimate"
"233","TCGA-PK-A5HA-01","ImmuneScore.estimate",474.725750016674,"estimate"
"234","TCGA-PK-A5HA-01","ESTIMATEScore.estimate",492.818522517712,"estimate"
"235","TCGA-PK-A5HB-01","StromalScore.estimate",-992.566539373001,"estimate"
"236","TCGA-PK-A5HB-01","ImmuneScore.estimate",-861.262124926979,"estimate"
"237","TCGA-PK-A5HB-01","ESTIMATEScore.estimate",-1853.82866429998,"estimate"
"238","TCGA-2F-A9KO-01","StromalScore.estimate",-287.201172599277,"estimate"
"239","TCGA-2F-A9KO-01","ImmuneScore.estimate",931.590921558762,"estimate"
"240","TCGA-2F-A9KO-01","ESTIMATEScore.estimate",644.389748959485,"estimate"
"241","TCGA-2F-A9KP-01","StromalScore.estimate",-1749.81854596814,"estimate"
"242","TCGA-2F-A9KP-01","ImmuneScore.estimate",-1163.16735674219,"estimate"
"243","TCGA-2F-A9KP-01","ESTIMATEScore.estimate",-2912.98590271033,"estimate"
"244","TCGA-2F-A9KQ-01","StromalScore.estimate",-1332.73284609713,"estimate"
"245","TCGA-2F-A9KQ-01","ImmuneScore.estimate",-1026.18981701598,"estimate"
"246","TCGA-2F-A9KQ-01","ESTIMATEScore.estimate",-2358.92266311311,"estimate"
"247","TCGA-2F-A9KR-01","StromalScore.estimate",-1579.21039651448,"estimate"
"248","TCGA-2F-A9KR-01","ImmuneScore.estimate",-657.309757382906,"estimate"
"249","TCGA-2F-A9KR-01","ESTIMATEScore.estimate",-2236.52015389738,"estimate"
"250","TCGA-2F-A9KT-01","StromalScore.estimate",-1045.96918654011,"estimate"
"251","TCGA-2F-A9KT-01","ImmuneScore.estimate",-518.050436539904,"estimate"
"252","TCGA-2F-A9KT-01","ESTIMATEScore.estimate",-1564.01962308001,"estimate"
"253","TCGA-2F-A9KW-01","StromalScore.estimate",-184.215756272462,"estimate"
"254","TCGA-2F-A9KW-01","ImmuneScore.estimate",-118.980872231216,"estimate"
"255","TCGA-2F-A9KW-01","ESTIMATEScore.estimate",-303.196628503678,"estimate"
"256","TCGA-4Z-AA7M-01","StromalScore.estimate",-1161.91939262224,"estimate"
"257","TCGA-4Z-AA7M-01","ImmuneScore.estimate",-574.279662288443,"estimate"
"258","TCGA-4Z-AA7M-01","ESTIMATEScore.estimate",-1736.19905491069,"estimate"
"259","TCGA-4Z-AA7N-01","StromalScore.estimate",714.612603521809,"estimate"
"260","TCGA-4Z-AA7N-01","ImmuneScore.estimate",2161.97646564477,"estimate"
"261","TCGA-4Z-AA7N-01","ESTIMATEScore.estimate",2876.58906916658,"estimate"
"262","TCGA-4Z-AA7O-01","StromalScore.estimate",-789.313729134723,"estimate"
"263","TCGA-4Z-AA7O-01","ImmuneScore.estimate",150.016198823088,"estimate"
"264","TCGA-4Z-AA7O-01","ESTIMATEScore.estimate",-639.297530311635,"estimate"
